"","ID","CommunityName","BeachName","BeachCountrycode","BeachRegionalSea","BeachLength_m","BeachLocation","BeachType","EventType","EventYear","EventMonth","EventDay","G1","G3","G4","G5","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G40","G41","G42","G43","G44","G45","G46","G47","G49","G50","G52","G53","G54","G56","G57","G58","G59","G60","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G76","G77","G79","G80","G82","G83","G84","G85","G86","G87","G88","G89","G90","G91","G92","G93","G95","G96","G97","G98","G99","G100","G101","G102","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G137","G138","G139","G140","G141","G142","G143","G144","G145","G147","G148","G150","G151","G152","G153","G154","G155","G156","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G171","G172","G174","G175","G176","G177","G178","G179","G180","G181","G182","G184","G186","G187","G188","G189","G190","G191","G193","G194","G195","G198","G199","G200","G201","G202","G203","G204","G205","G206","G207","G208","G210","G211","G213","geometry"
"115",115,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Golfo di Napoli spiaggia tra porto Marina di Stabia e porto commerciale Castellammare di Stabia","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","13",7,17,17,17,7,7,NA,7,NA,NA,NA,NA,NA,5,NA,5,NA,7,7,7,7,NA,NA,NA,NA,NA,7,7,NA,7,7,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,5,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,6,6,6,6,12,1,1,1,1,NA,1,NA,NA,NA,NA,5,NA,5,NA,NA,1,1,NA,NA,NA,7,7,NA,7,15,NA,NA,NA,NA,NA,NA,NA,c(14.48002, 40.71012)
"116",116,"Legambiente Onlus","Spiaggia alla foce del Fiume Irminio, Ragusa (RG)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2015","05","10",NA,7,2,NA,NA,680,48,NA,NA,11,NA,16,NA,7,NA,2,NA,84,NA,NA,NA,NA,7,NA,1,NA,3,NA,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,1,2,NA,3,2,NA,3,NA,1,4,1,NA,1,NA,4,NA,NA,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,12,5,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.5955300003778, 36.7725800003065)
"117",117,"Legambiente Onlus","Spiaggia Grotta della Cala, Camerota (SA)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","28",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,10,NA,NA,1,NA,160,NA,NA,NA,NA,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,3,10,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,17,2,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,1,7,NA,NA,2,NA,8,NA,2,3,1,5,NA,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,c(15.3799399997206, 40.0006600002201)
"118",118,"Surfrider Foundation Europe","18 Strada Statale 18, 88022 88022, Italie","IT","Mediterranean Sea",88,NA,NA,"Cleanup","2015","05","17",NA,50,NA,NA,20,30,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,100,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,30,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(16.2210999999392, 38.8384000000904)
"119",119,"Legambiente Onlus","Lido di Marechiaro, Anzio (RM)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","27",NA,6,20,NA,10,30,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,20,40,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,6,NA,10,13,5,NA,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,40,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(12.6079400004299, 41.4669399998899)
"120",120,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Castiadas Costa Rei","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","23",4,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,4,4,NA,64,1,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,1,1,NA,4,4,4,4,4,NA,4,2,1,15,NA,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,NA,NA,NA,NA,4,3,4,3,NA,1,1,1,1,1,9,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,c(9.58123, 39.26378)
"121",121,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Castiadas Costa Rei","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","12","05",4,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,4,4,NA,64,1,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,1,1,NA,4,4,4,4,4,NA,4,2,1,15,NA,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,NA,NA,NA,NA,4,3,4,3,NA,1,1,1,1,1,9,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,c(9.58123, 39.26378)
"122",122,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Castiadas Costa Rei","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","01","03",4,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,4,4,NA,64,1,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,1,1,NA,4,4,4,4,4,NA,4,2,1,15,NA,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,NA,NA,NA,NA,4,3,4,3,NA,1,1,1,1,1,9,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,c(9.58123, 39.26378)
"123",123,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Castiadas Costa Rei","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","06",4,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,4,4,NA,64,1,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,1,1,NA,4,4,4,4,4,NA,4,2,1,15,NA,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,NA,NA,NA,NA,4,3,4,3,NA,1,1,1,1,1,9,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,c(9.58123, 39.26378)
"124",124,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Castiadas Costa Rei","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","02","20",4,4,4,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,4,4,NA,64,1,NA,4,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,1,1,NA,4,4,4,4,4,NA,4,2,1,15,NA,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,6,NA,4,NA,NA,NA,NA,4,3,4,3,NA,1,1,1,1,1,9,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,c(9.58123, 39.26378)
"125",125,"Legambiente Onlus","Spiaggia alla foce del fiume Tenna","IT","Mediterranean Sea",101,"Near river mouth","Other (mixed)","Monitoring","2016","10","13",NA,11,NA,NA,14,20,9,NA,1,2,NA,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,37,17,NA,NA,NA,6,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,NA,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,8,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,c(13.7768497463579, 43.2354621889991)
"126",126,"Legambiente Onlus","Spiaggia dell Oasi dei Variconi, Castel Volturno (CE)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","22",15,12,35,2,68,201,121,64,18,95,34,21,6,12,1,16,4,85,34,3,42,6,4,19,4,6,17,2,6,6,6,NA,11,12,9,2,NA,2,NA,NA,NA,4,2,6,NA,6,4,2,2,85,6,2,NA,NA,4,4,2,6,6,NA,2,8,NA,45,NA,NA,74,12,285,14,3,NA,NA,1,NA,1,6,NA,NA,NA,12,4,3,1,2,3,NA,6,26,1,6,2,6,NA,NA,4,NA,NA,7,2,10,1,NA,4,2,NA,NA,9,6,4,2,1,1,4,2,NA,25,5,2,NA,4,2,NA,4,2,NA,NA,32,15,26,21,12,7,26,NA,2,6,2,1,6,4,2,4,NA,NA,2,3,4,10,7,75,NA,7,25,3,1,NA,NA,6,4,15,6,c(13.9305300001759, 41.0202499999257)
"127",127,"CpjJwWHV","spiaggia foce genova","IT","Mediterranean Sea",210,NA,NA,"Cleanup","2021","06","18",NA,83,50,NA,73,28,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,680,NA,NA,95,NA,NA,NA,38,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,10,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,c(8.94872254432333, 44.3939541553543)
"128",128,"Surfrider Foundation Europe","1 Corso Giacomo Matteotti, 17019 Varazze, Italie","IT","Mediterranean Sea",79,NA,NA,"Cleanup","2015","05","09",NA,50,NA,NA,280,86,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,500,NA,NA,90,60,NA,30,20,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,20,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,c(8.57770000020244, 44.358200000085)
"129",129,"Surfrider Foundation Europe","Baia dell'Orte, spiaggia di cala casotto","IT","Mediterranean Sea",765,NA,NA,"Cleanup","2016","07","02",0,30,0,0,204,242,6,74,6,16,30,4,0,4,0,0,10,266,112,90,50,10,30,22,20,2,0,4,12,90,10,4,0,0,0,0,0,4,0,0,0,0,0,50,100,0,0,50,0,10,18,8,6,2,0,0,10,8,0,2,0,72,0,2,1000,0,302,4,0,0,0,0,0,0,0,6,0,0,0,4,12,38,2,2,6,12,0,10,0,2,0,0,0,0,0,0,0,10,2,14,0,0,0,0,0,NA,0,0,0,2,4,4,2,2,2,0,0,30,4,0,26,0,0,0,0,0,0,0,0,6,24,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,40,0,4,2,2,0,0,0,0,0,2,0,c(18.5067377825671, 40.1286700350933)
"130",130,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Catanzaro Lido Foce Corace","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","03","23",2,NA,NA,NA,2,2,8,2,8,8,7,7,7,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,3,3,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,25,5,5,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,c(16.60757, 38.81367)
"131",131,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Catanzaro Lido Foce Corace","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2018","11","07",2,NA,NA,NA,2,2,8,2,8,8,7,7,7,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,3,3,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,25,5,5,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,c(16.60757, 38.81367)
"132",132,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Catanzaro Lido Foce Corace","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","02","01",2,NA,NA,NA,2,2,8,2,8,8,7,7,7,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,3,3,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,25,5,5,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,c(16.60757, 38.81367)
"133",133,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Catanzaro Lido Foce Corace","IT","Mediterranean Sea",99,NA,NA,"Monitoring","2017","10","13",2,NA,NA,NA,2,2,8,2,8,8,7,7,7,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,1,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,3,3,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,25,5,5,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,c(16.60757, 38.81367)
"134",134,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Salve","IT","Mediterranean Sea",105,NA,NA,"Monitoring","2017","11","21",32,1,1,1,32,32,2,32,2,2,NA,NA,NA,NA,11,NA,NA,32,32,32,32,11,16,248,23,3,32,32,7,32,32,32,3,3,NA,NA,9,9,11,9,9,11,3,3,3,3,3,3,3,1,3,7,NA,NA,NA,NA,1,3,3,3,11,3,11,3,NA,NA,11,11,48,48,7,11,11,11,11,11,NA,11,3,1,176,NA,NA,NA,7,30,NA,3,11,2,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,3,3,NA,3,3,3,3,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,c(18.2513, 39.8355)
"135",135,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Salve","IT","Mediterranean Sea",105,NA,NA,"Monitoring","2017","04","03",32,1,1,1,32,32,2,32,2,2,NA,NA,NA,NA,11,NA,NA,32,32,32,32,11,16,248,23,3,32,32,7,32,32,32,3,3,NA,NA,9,9,11,9,9,11,3,3,3,3,3,3,3,1,3,7,NA,NA,NA,NA,1,3,3,3,11,3,11,3,NA,NA,11,11,48,48,7,11,11,11,11,11,NA,11,3,1,176,NA,NA,NA,7,30,NA,3,11,2,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,3,3,NA,3,3,3,3,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,c(18.2513, 39.8355)
"136",136,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Salve","IT","Mediterranean Sea",105,NA,NA,"Monitoring","2018","04","04",32,1,1,1,32,32,2,32,2,2,NA,NA,NA,NA,11,NA,NA,32,32,32,32,11,16,248,23,3,32,32,7,32,32,32,3,3,NA,NA,9,9,11,9,9,11,3,3,3,3,3,3,3,1,3,7,NA,NA,NA,NA,1,3,3,3,11,3,11,3,NA,NA,11,11,48,48,7,11,11,11,11,11,NA,11,3,1,176,NA,NA,NA,7,30,NA,3,11,2,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,3,3,NA,3,3,3,3,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,c(18.2513, 39.8355)
"137",137,"Monitoraggio Strategia Marina – Ministero dell’Ambiente","Marina di Salve","IT","Mediterranean Sea",105,NA,NA,"Monitoring","2018","12","14",32,1,1,1,32,32,2,32,2,2,NA,NA,NA,NA,11,NA,NA,32,32,32,32,11,16,248,23,3,32,32,7,32,32,32,3,3,NA,NA,9,9,11,9,9,11,3,3,3,3,3,3,3,1,3,7,NA,NA,NA,NA,1,3,3,3,11,3,11,3,NA,NA,11,11,48,48,7,11,11,11,11,11,NA,11,3,1,176,NA,NA,NA,7,30,NA,3,11,2,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,3,3,NA,3,3,3,3,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,c(18.2513, 39.8355)
"138",138,"Legambiente Onlus","Spiaggia di Pioppi, Salerno (SA)","IT","Mediterranean Sea",100,NA,NA,"Cleanup","2016","05","14",NA,NA,NA,2,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,63,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,c(15.0898300003857, 40.173859999747)
"139",139,"Legambiente Onlus","Spiaggia del Foro di Ortona, Chieti (CH)","IT","Mediterranean Sea",100,NA,NA,"Monitoring","2017","04","28",NA,10,NA,NA,7,10,1,NA,1,1,1,1,NA,NA,NA,5,NA,30,NA,3,37,NA,NA,27,2,NA,3,4,NA,3,NA,NA,2,NA,1,NA,1,NA,NA,21,NA,NA,2,NA,NA,4,NA,5,NA,1,NA,NA,NA,NA,NA,1,11,4,NA,NA,NA,1,NA,2,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,6,NA,NA,NA,NA,3,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(14.3428199996445, 42.3936199999047)
